POI,subway_station,subway_station,subway_station,police,police,police,primary_school,primary_school,primary_school,university,university,university,library,library,library,night_club,night_club,night_club,shopping_mall,shopping_mall,shopping_mall,supermarket,supermarket,supermarket,bus_station,bus_station,bus_station,park,park,park,church,church,church,hospital,hospital,hospital
臺北市中山區錦州街１５９號１０樓之９,2,4,6,1,3,6,2,6,8,2,11,42,4,11,15,18,57,60,6,14,33,8,23,39,8,25,38,10,49,60,12,42,60,13,50,60
臺北市大安區羅斯福路二段８１巷１１之１號,1,3,4,0,2,11,3,11,15,10,22,30,3,18,30,0,3,6,2,11,14,8,18,28,5,19,34,15,51,60,21,59,60,9,29,44
臺北市大安區和平東路三段228巷53號3樓,1,2,16,1,2,28,1,2,39,1,28,60,1,8,60,3,6,60,1,4,60,5,16,60,4,12,60,9,32,60,8,26,60,1,6,60
臺北市大安區大安路一段202號四樓之11,1,4,6,1,4,7,1,9,14,2,12,29,3,11,19,4,29,36,2,22,33,4,23,44,9,34,50,8,36,60,13,41,60,39,60,60
臺北市大安區安和路二段２２７巷２２號八樓,1,3,16,0,5,25,0,7,42,5,28,60,1,10,60,3,9,60,1,6,60,11,27,60,6,17,60,9,35,60,17,44,60,3,19,60
臺北市大安區瑞安街６１巷１弄１２號３樓,2,3,18,1,2,30,4,10,42,3,34,60,6,16,60,1,6,60,3,6,60,6,22,60,8,22,60,11,42,60,11,42,60,8,35,60
臺北市大安區忠孝東路四段51號十樓之1,1,3,8,1,3,13,1,8,14,2,13,30,3,9,19,12,35,43,19,29,37,8,19,37,12,30,56,9,29,52,10,60,60,46,60,60
臺北市大安區永康街２３巷１０之１號二樓,1,3,6,0,5,6,3,7,16,7,21,39,5,18,34,0,0,4,9,13,15,9,18,32,8,23,41,13,44,60,13,51,60,9,21,51
臺北市大安區潮州街60巷10弄2號3樓之3,1,3,4,0,4,12,1,10,17,10,24,26,3,23,34,0,4,6,1,12,14,7,20,27,6,24,38,8,51,60,22,57,60,17,33,40
臺北市北投區行義路140巷23號3樓,0,0,3,0,1,8,0,0,18,0,1,45,0,3,22,0,1,6,0,0,7,2,6,46,0,0,17,3,19,60,0,6,59,0,1,60
臺北市北投區溫泉路65巷16號十一樓之2,1,2,6,3,3,7,2,7,16,1,2,30,1,4,14,2,4,9,0,0,3,3,13,31,0,6,29,15,39,60,8,21,37,5,22,60
臺北市士林區天母西路２２巷６弄１號五樓,0,0,4,0,1,11,2,6,22,0,8,54,2,11,27,0,3,8,0,4,12,4,21,52,0,1,32,7,32,60,4,19,60,26,60,60
臺北市北投區裕民二路6號8樓,1,2,6,3,7,11,3,5,22,8,24,35,5,11,26,3,4,11,1,2,13,4,15,58,6,9,44,5,23,60,6,21,60,13,60,60
臺北市士林區至誠路二段120巷12號,1,2,5,0,1,15,2,6,22,1,2,52,0,3,31,1,2,16,2,4,23,5,10,59,10,19,41,7,35,60,8,33,60,1,56,60
臺北市北投區中山路２８之９號三樓,0,1,6,0,1,7,0,3,17,1,1,32,1,1,15,0,2,10,0,0,3,0,4,33,1,1,28,10,29,60,4,14,39,8,14,60
臺北市南港區成福路191號十七樓,0,1,7,0,1,20,1,7,20,1,1,30,1,5,26,2,4,33,0,1,54,1,11,45,0,4,47,14,36,60,5,17,60,0,16,44
臺北市信義區松山路２０７巷４弄４號三樓,2,3,4,1,4,5,1,9,15,0,3,6,2,10,14,6,11,18,3,7,16,7,19,27,7,16,23,15,45,60,9,39,52,8,32,36
臺北市松山區南京東路五段２３９號７樓之３,1,1,4,0,4,9,1,6,10,4,8,10,1,7,15,6,8,14,0,9,16,8,22,32,3,9,22,8,32,60,11,37,60,7,32,44
臺北市信義區福德街20號2樓,0,2,3,1,5,12,0,7,9,2,3,5,2,11,11,2,8,14,0,0,14,6,11,21,0,5,14,9,39,56,9,24,31,3,14,31
臺北市信義區松德路２２５號二樓,0,2,4,4,10,11,2,4,11,2,5,8,1,6,13,0,15,25,0,20,32,2,13,25,0,10,20,11,37,60,6,17,39,2,13,21
臺北市信義區虎林街50巷16號3樓,1,3,4,2,4,5,3,8,10,0,3,7,4,9,12,2,15,21,6,7,17,6,19,28,9,19,24,13,45,60,5,38,53,5,31,40
臺北市內湖區內湖路三段６０巷３３號四樓,0,1,6,0,4,11,1,3,14,0,9,34,0,2,11,1,3,6,0,1,10,1,9,35,2,9,36,7,24,60,2,13,50,1,12,60
臺北市內湖區康樂街186巷34之2號12樓之1,0,0,6,0,1,13,0,0,16,0,0,13,0,1,10,0,0,6,1,2,11,1,5,47,0,4,44,4,15,60,0,2,49,0,1,52
臺北市內湖區陽光街１６１巷１２之２５號四樓,1,1,9,0,2,18,0,2,26,0,10,34,0,5,19,1,2,10,0,5,35,2,12,60,4,9,55,4,21,60,3,19,60,1,33,60
臺北市中山區吉林路４０７巷１號五樓,0,2,4,0,3,5,1,5,7,2,16,21,3,8,11,2,29,47,0,11,16,6,27,32,4,17,27,12,40,60,7,30,42,3,32,52
臺北市內湖區成功路三段１７４巷１７弄１３號六樓,1,2,7,1,3,16,2,2,18,9,9,34,0,1,12,2,5,6,1,1,22,5,9,50,7,13,41,6,24,60,9,17,56,11,13,60
臺北市中山區農安街247號5樓,0,2,3,1,2,4,0,6,8,0,5,28,4,9,10,0,12,47,2,9,14,15,27,35,10,19,31,7,35,60,5,25,44,4,29,49
臺北市中山區南京東路一段１３２巷１８號六樓,0,4,8,3,16,22,2,4,9,1,9,39,1,18,28,51,60,60,3,34,59,3,12,29,5,38,55,6,41,60,9,52,60,9,45,60
臺北市中山區農安街125巷33號4樓,0,2,5,0,4,5,3,4,7,2,18,21,3,8,11,5,33,53,0,10,15,8,26,33,4,17,30,11,42,60,8,31,42,8,34,51
臺北市內湖區陽光街１６１巷１２之２９號五樓,1,1,9,0,2,18,0,2,26,0,10,34,0,5,19,1,2,10,0,5,35,2,12,60,4,9,55,4,21,60,3,19,60,1,33,60
臺北市內湖區陽光街１６１巷１２之１６號五樓,1,1,9,0,2,18,0,2,26,0,10,34,0,5,19,1,2,10,0,5,35,2,12,60,4,9,55,4,21,60,3,19,60,1,33,60
臺北市中山區長春路380號16樓,1,3,6,0,8,8,0,8,11,23,32,34,3,14,22,5,16,29,2,24,29,4,19,33,7,30,57,20,50,60,9,45,60,9,43,60
臺北市內湖區星雲街210巷30號6樓,1,2,6,2,4,18,1,4,19,1,1,32,0,0,10,2,4,6,0,1,13,2,9,53,3,11,44,8,28,60,6,14,59,3,14,60
臺北市內湖區內湖路一段659號17樓之2,1,3,7,1,3,12,3,4,21,7,8,39,1,1,14,0,0,8,2,5,32,8,15,60,6,14,42,8,28,60,10,20,60,6,11,60
臺北市中山區林森北路４８３號二樓之２,1,4,8,1,2,16,3,6,12,4,20,26,3,12,20,34,55,60,6,15,31,9,20,31,2,22,45,11,45,60,12,42,60,27,50,60
臺北市大同區延平北路二段238號十一樓之1,1,3,7,8,14,17,3,10,12,2,4,16,6,13,21,3,9,20,4,19,39,4,14,26,3,12,28,6,27,45,8,24,43,6,25,45
臺北市大同區貴德街８３號九樓,0,2,6,3,12,19,0,7,14,0,2,11,6,12,22,2,8,23,7,23,41,6,14,24,1,11,41,6,24,42,4,16,29,4,19,36
臺北市萬華區青年路70號2樓,0,0,0,2,7,7,5,9,14,0,1,3,2,5,11,0,3,6,0,0,3,4,18,24,2,5,14,10,26,60,7,24,33,1,11,14
臺北市大同區延平北路三段５號三樓之１,1,2,5,6,12,16,4,9,14,1,5,22,4,12,18,3,10,16,1,11,24,0,10,28,5,14,30,5,21,47,7,29,47,4,17,38
臺北市大同區南京西路216號8樓之2,1,5,8,1,25,33,3,4,12,4,21,32,5,21,31,5,50,60,26,56,60,7,17,24,8,38,54,8,36,58,10,45,60,7,55,60
臺北市大同區民權西路279號8樓之6,1,2,4,4,12,15,4,8,14,1,3,14,2,12,19,3,10,18,0,11,20,0,15,30,3,16,24,2,19,49,2,25,41,2,15,30
臺北市文山區木柵路三段49巷1號四樓,0,0,7,1,2,14,3,6,24,3,13,45,3,7,30,0,1,4,0,0,4,4,11,36,3,3,46,6,32,60,8,27,60,2,6,31
臺北市文山區辛亥路五段５１號二樓,1,2,9,2,4,19,2,8,32,6,12,60,2,3,37,1,2,9,0,0,9,3,7,51,4,7,58,4,21,60,5,17,60,16,18,60
臺北市中正區博愛路２２３號七樓,1,3,5,7,12,24,2,6,12,2,13,30,7,27,44,0,7,23,0,5,27,1,18,33,5,39,52,27,43,60,3,27,56,2,25,60
臺北市文山區萬芳路18號12樓之3,2,3,5,0,1,10,0,5,22,0,4,39,0,3,26,0,0,3,0,0,0,0,6,26,5,11,30,4,21,60,2,20,54,0,2,28
臺北市文山區景興路188號18樓之11,1,1,9,4,6,23,3,8,39,7,16,60,4,6,41,0,2,12,0,0,13,6,12,60,10,16,60,3,28,60,12,34,60,10,12,60
臺北市文山區溪口街91巷1號5樓,1,2,10,4,5,21,2,9,39,0,6,60,0,6,47,0,2,14,0,1,17,5,16,60,7,13,60,5,27,60,14,30,60,5,13,60
臺北市中正區同安街９３之１號五樓,0,2,4,1,4,12,2,8,13,1,14,29,4,12,25,0,5,9,1,3,8,5,17,28,2,12,25,14,40,60,14,46,60,6,25,46
臺北市文山區汀州路四段225號7樓,1,1,2,1,3,8,3,5,10,3,11,46,3,5,7,0,2,4,2,2,2,5,9,18,2,4,21,9,37,53,3,20,33,1,2,7
臺北市文山區溪口街１巷３４號四樓,1,2,10,4,5,23,2,9,41,2,11,60,0,5,44,0,2,13,0,1,16,5,13,60,9,13,60,8,26,60,19,29,60,10,13,60
臺北市文山區興隆路四段29巷2弄23號,0,0,9,1,1,15,3,7,30,0,3,47,3,8,32,0,1,8,0,0,5,0,10,49,3,5,53,15,26,60,6,21,60,2,6,60
臺北市文山區光輝路89號五樓,0,0,10,0,1,19,3,6,36,1,4,50,4,6,43,0,1,10,0,0,7,3,8,60,2,5,59,17,31,60,7,15,60,0,5,60
臺北市文山區景豐街68號六樓,0,1,10,1,5,23,2,12,37,3,7,60,0,4,47,2,3,13,0,1,12,3,15,60,0,5,60,18,35,60,8,29,60,1,7,60
臺北市萬華區環河南路三段51號,0,0,0,0,3,7,0,7,11,0,1,2,0,3,4,2,4,5,0,1,2,2,11,23,0,3,9,9,35,52,3,10,23,4,8,12
臺北市大同區雙連街79號10樓之3,2,5,6,4,15,22,1,12,14,6,22,27,4,19,25,4,56,60,2,31,56,1,19,34,5,19,34,8,37,59,12,47,60,12,53,60
臺北市大同區哈密街２３巷２之６號,1,1,3,0,6,6,1,3,8,1,13,15,2,3,7,0,6,15,1,6,9,1,7,14,5,11,18,8,36,56,4,18,37,0,10,23
臺北市萬華區大理街１７０巷５２號四樓,0,1,1,2,8,10,3,6,10,1,2,3,2,4,6,1,9,11,1,6,6,6,13,22,2,10,15,16,39,54,2,11,23,1,18,25
臺北市萬華區長沙街二段８９號十二樓之２,1,3,6,2,13,16,2,5,10,7,16,28,5,16,25,15,27,31,15,28,34,10,17,21,13,32,51,8,35,60,8,19,31,25,48,60
臺北市大同區重慶北路三段９巷３１號二樓,1,4,5,6,11,16,6,9,15,1,21,22,4,11,19,5,14,45,0,11,27,3,11,25,10,17,25,7,29,53,9,38,48,6,31,52
臺北市內湖區民權東路六段150之3號12樓之2,0,0,12,1,1,25,1,1,30,3,13,34,3,4,22,0,0,16,1,2,38,2,3,60,0,1,60,6,20,60,3,4,60,15,23,60
臺北市中山區松江路25巷5號2樓之6,0,2,5,1,5,16,1,6,9,7,17,32,1,9,22,1,44,60,8,16,31,3,20,29,7,27,50,9,52,60,11,48,60,7,30,49
臺北市中山區雙城街3巷2號15樓之4,2,4,7,0,5,16,3,6,14,9,22,25,3,13,18,25,51,60,5,13,28,8,18,27,3,15,42,11,45,60,17,42,60,21,46,60
臺北市中山區中山北路一段１２１巷３３號十樓之１,1,5,8,5,20,22,0,3,7,1,12,43,3,17,28,50,60,60,15,42,60,3,12,25,5,36,55,10,38,60,13,44,60,10,50,60
臺北市中山區四平街１３８號九樓之２,1,3,5,1,3,6,2,5,11,4,30,46,1,7,15,11,27,60,3,7,39,3,19,32,14,33,53,14,50,60,11,45,60,7,36,60
臺北市中山區林森北路２８９號五樓,0,5,7,3,11,22,1,8,11,0,10,28,1,15,23,34,60,60,5,29,47,4,16,33,4,24,53,8,44,60,8,39,60,16,57,60
臺北市中山區民族東路５３８號三樓,0,2,3,0,2,4,1,1,4,0,2,21,0,4,6,0,3,3,2,8,9,3,16,23,2,18,29,2,15,42,3,12,24,0,9,21
臺北市內湖區成功路二段４２６巷７弄１１號三樓,0,1,11,1,1,24,1,1,30,2,13,35,3,4,19,0,2,11,1,2,36,1,6,60,0,5,60,4,17,60,2,11,60,16,23,60
臺北市內湖區內湖路一段9號十二樓,1,2,6,0,1,12,1,4,19,0,2,44,1,3,20,1,1,5,7,10,26,6,12,50,7,12,48,10,34,60,3,8,60,0,3,25
臺北市萬華區成都路１３９號八樓之７,0,2,5,3,11,18,1,3,6,6,13,26,3,11,19,18,26,30,18,26,39,7,14,20,2,28,43,9,23,52,3,14,28,21,43,60
臺北市中山區伊通街１９巷２５號二樓之１,1,3,5,1,3,10,1,6,10,3,20,49,1,8,20,7,38,60,2,20,31,2,18,32,11,34,51,11,53,60,17,39,60,10,31,58
臺北市中山區伊通街１９巷２５號三樓之１,1,3,5,1,3,10,1,6,10,3,20,49,1,8,20,7,38,60,2,20,31,2,18,32,11,34,51,11,53,60,17,39,60,10,31,58
臺北市中山區伊通街１９巷２７號五樓之１,1,3,5,1,3,10,1,6,10,3,20,49,1,8,20,7,38,60,2,20,31,2,18,32,11,34,51,11,53,60,17,39,60,10,31,58
臺北市松山區敦化北路１２０巷７４號二樓,1,3,4,1,7,9,0,7,12,5,32,34,3,15,21,4,16,23,11,23,25,2,21,30,9,28,44,15,56,60,10,42,60,22,43,60
臺北市松山區南京東路四段７５巷３2號5樓,1,2,5,3,8,11,4,9,10,2,11,19,7,15,24,0,8,29,3,16,27,5,22,34,6,18,35,15,44,60,15,50,60,26,51,60
臺北市信義區信義路五段150巷330號2樓之6,0,1,2,0,10,10,2,3,6,3,18,22,2,5,9,2,6,15,0,11,21,3,8,14,0,4,13,10,26,50,5,12,18,1,24,26
臺北市南港區向陽路120巷2弄1號2樓,0,1,9,4,4,17,1,3,26,0,0,18,2,2,29,0,1,16,0,4,30,2,6,52,1,8,52,7,19,60,3,9,60,1,1,60
臺北市北投區中央北路二段１１３巷５號,0,3,6,0,3,4,2,5,13,0,4,33,2,2,11,0,5,7,0,0,2,1,15,24,0,9,23,10,27,60,0,14,31,3,13,27
臺北市北投區富貴一路５巷６號,0,2,6,0,4,10,2,9,22,4,6,42,3,8,27,0,4,9,0,3,13,5,19,52,1,8,38,10,24,60,6,25,60,22,60,60
臺北市北投區致遠一路一段58巷10弄3號3樓,1,3,6,4,7,16,2,7,24,0,2,35,0,5,27,1,5,12,0,6,19,6,14,60,2,10,46,4,20,60,7,21,60,2,28,60
臺北市士林區倫等街５４巷３１號二樓,0,0,6,1,1,17,1,1,17,0,0,16,1,1,28,0,2,19,0,1,29,1,4,54,0,4,47,6,14,60,3,4,60,1,2,59
臺北市大安區羅斯福路三段６９號七樓,1,2,4,0,2,4,3,10,17,12,24,45,1,15,26,2,3,6,3,7,15,3,16,29,6,15,28,17,51,60,16,60,60,8,32,43
臺北市大安區和平東路三段1巷58號4樓,1,4,17,1,4,24,2,9,40,10,37,60,3,15,60,2,7,60,3,5,60,10,28,60,4,27,60,10,37,60,18,44,60,8,22,60
臺北市大安區臥龍街275號6樓,1,2,12,0,1,25,0,1,37,0,13,60,1,2,49,0,4,41,1,2,47,3,9,60,3,9,60,12,29,60,5,13,60,1,6,60
